StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific_id,Q145,match timer_First Click,match timer_Last Click,match timer_Page Submit,match timer_Click Count,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q28,get timer_First Click,get timer_Last Click,get timer_Page Submit,get timer_Click Count,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q83,Q87,Q90_1_x,Q90_1_y,Q90,Q91,attn_check,Q147_First Click,Q147_Last Click,Q147_Page Submit,Q147_Click Count,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,Q57_First Click,Q57_Last Click,Q57_Page Submit,Q57_Click Count,Q20,Q100_First Click,Q100_Last Click,Q100_Page Submit,Q100_Click Count,Q84,Q141,Q142,Q143_1,Q144,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,fairness(new),Q31,guesstimate(new)_1,feedback (new),Q167_First Click,Q167_Last Click,Q167_Page Submit,Q167_Click Count,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Q172_First Click,Q172_Last Click,Q172_Page Submit,Q172_Click Count,Q177_First Click,Q177_Last Click,Q177_Page Submit,Q177_Click Count,Q94,Q95,Q129,Q96,Q128,desktop,desktop_4_TEXT,Q131,age,gender,gender_5_TEXT,ethnicity,pol_or,Q102,Q103,researcherID,studyID,Create New Field or Choose From Dropdown...,groupID,participantID,groupSize,numStages,roles,participantRole,timeOutLog,maxWaitTime,id,botMatch,matchAlert,participantStatus,sendData,sendStage,getStage,getData,saveData,getWaitText,freezeTime,chatLog,chatDuration,chatName,chatWindowWidth,chatWindowHeight,chatInstructions
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,consent,Please input your Prolific ID.,"Please check here to signify that you understand that you should not refresh your browser, and that there will be periods of waiting in this survey.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Are you an Overestimator, or Underestimator? 



Approximately how many dots were in the previous image?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mental Rotation Task 

 

Looking at the shape below, select the photo that depicts the same shape, rotated in space.","Logic Problem



Please read the following carefully, then select the answer you believe to be most correct. 

 

Laird: Pure research provides us with new technologies that contribute to saving lives. Even more worthwhile than this, however, is its role in expanding our knowledge and providing new, unexplored ideas.

Kim: Your priorities are mistaken. Saving lives is what counts most of all. Without pure research, medicine would not be as advanced as it is.

Laird and Kim disagree on whether pure research...","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - 1 - X","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - 1 - Y","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - Regions","Survey Question

 

Please answer the following question honestly. We are interested in how people score on a variety of personality measures. 

 

 

I am the life of the party.","There are lots of different types of questions that we may ask participants. Some types of questions look at personality, whereas others may test certain sets of skills. Others may test to ensure that participants read the entire question. Please select ""Somewhat Disagree"" from the selection below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How would you like to assign tasks?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Which task would you like to assign to YOURSELF? 
(Remember, whichever task you do not choose will be assigned to another participant.)",Do you think the assignment procedure for tasks is blind (e.g. the researchers are not assigning tasks)?,How fairly did you act when assigning the tasks?,How likely do you think people are to assign themselves the green task? - Green Task,"Do you have any other feedback on the new ""experimenter-blind"" task assignment procedure?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you think the assignment procedure for tasks is blind (e.g. the researchers are not assigning tasks)?,How fairly did the other participant act when assigning the tasks?,How likely do you think people are to assign themselves the green task? - Green Task,"Do you have any other feedback on the new ""experimenter-blind"" task assignment procedure?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What did you think was the purpose of this experiment?,Did you believe that you were talking to real people in the chat phase?,Why Not?,Did you believe that the other participants were actually assigning tasks?,Why Not?,How did you complete this survey? This will not affect your payment. - Selected Choice,How did you complete this survey? This will not affect your payment. - Other - Text,Is there anything else you'd like us to know?,What is your age?,How do you currently describe your gender identity? - Selected Choice,How do you currently describe your gender identity? - Something not listed here - Text,What categories describe you? Please select all that apply.,"Overall, on the following scale of political orientation [from Very Liberal to Very Conservative], where would you place yourself?",Q102,"I feel that I have been adequately debriefed about the nature of the study. The investigator has explained the purposes of the research to me, and I feel that any questions I have asked were satisfactorily answered.",researcherID,studyID,Create New Field or Choose From Dropdown...,groupID,participantID,groupSize,numStages,roles,participantRole,timeOutLog,maxWaitTime,id,botMatch,matchAlert,participantStatus,sendData,sendStage,getStage,getData,saveData,getWaitText,freezeTime,chatLog,chatDuration,chatName,chatWindowWidth,chatWindowHeight,chatInstructions
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14""}","{""ImportId"":""QID154_TEXT""}","{""ImportId"":""QID153""}","{""ImportId"":""QID9_FIRST_CLICK""}","{""ImportId"":""QID9_LAST_CLICK""}","{""ImportId"":""QID9_PAGE_SUBMIT""}","{""ImportId"":""QID9_CLICK_COUNT""}","{""ImportId"":""QID37_FIRST_CLICK""}","{""ImportId"":""QID37_LAST_CLICK""}","{""ImportId"":""QID37_PAGE_SUBMIT""}","{""ImportId"":""QID37_CLICK_COUNT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID120_FIRST_CLICK""}","{""ImportId"":""QID120_LAST_CLICK""}","{""ImportId"":""QID120_PAGE_SUBMIT""}","{""ImportId"":""QID120_CLICK_COUNT""}","{""ImportId"":""QID68_FIRST_CLICK""}","{""ImportId"":""QID68_LAST_CLICK""}","{""ImportId"":""QID68_PAGE_SUBMIT""}","{""ImportId"":""QID68_CLICK_COUNT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID95""}","{""ImportId"":""QID98"",""point"":1,""coord"":""x""}","{""ImportId"":""QID98"",""point"":1,""coord"":""y""}","{""ImportId"":""QID98_REGIONS""}","{""ImportId"":""QID99""}","{""ImportId"":""QID145""}","{""ImportId"":""QID155_FIRST_CLICK""}","{""ImportId"":""QID155_LAST_CLICK""}","{""ImportId"":""QID155_PAGE_SUBMIT""}","{""ImportId"":""QID155_CLICK_COUNT""}","{""ImportId"":""QID63_FIRST_CLICK""}","{""ImportId"":""QID63_LAST_CLICK""}","{""ImportId"":""QID63_PAGE_SUBMIT""}","{""ImportId"":""QID63_CLICK_COUNT""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143_1""}","{""ImportId"":""QID144_TEXT""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID167_FIRST_CLICK""}","{""ImportId"":""QID167_LAST_CLICK""}","{""ImportId"":""QID167_PAGE_SUBMIT""}","{""ImportId"":""QID167_CLICK_COUNT""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}","{""ImportId"":""QID172_FIRST_CLICK""}","{""ImportId"":""QID172_LAST_CLICK""}","{""ImportId"":""QID172_PAGE_SUBMIT""}","{""ImportId"":""QID172_CLICK_COUNT""}","{""ImportId"":""QID177_FIRST_CLICK""}","{""ImportId"":""QID177_LAST_CLICK""}","{""ImportId"":""QID177_PAGE_SUBMIT""}","{""ImportId"":""QID177_CLICK_COUNT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID137_TEXT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID136_TEXT""}","{""ImportId"":""QID161""}","{""ImportId"":""QID161_4_TEXT""}","{""ImportId"":""QID139_TEXT""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID151_5_TEXT""}","{""ImportId"":""QID152""}","{""ImportId"":""QID149""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""researcherID""}","{""ImportId"":""studyID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""groupID""}","{""ImportId"":""participantID""}","{""ImportId"":""groupSize""}","{""ImportId"":""numStages""}","{""ImportId"":""roles""}","{""ImportId"":""participantRole""}","{""ImportId"":""timeOutLog""}","{""ImportId"":""maxWaitTime""}","{""ImportId"":""id""}","{""ImportId"":""botMatch""}","{""ImportId"":""matchAlert""}","{""ImportId"":""participantStatus""}","{""ImportId"":""sendData""}","{""ImportId"":""sendStage""}","{""ImportId"":""getStage""}","{""ImportId"":""getData""}","{""ImportId"":""saveData""}","{""ImportId"":""getWaitText""}","{""ImportId"":""freezeTime""}","{""ImportId"":""chatLog""}","{""ImportId"":""chatDuration""}","{""ImportId"":""chatName""}","{""ImportId"":""chatWindowWidth""}","{""ImportId"":""chatWindowHeight""}","{""ImportId"":""chatInstructions""}"
2023-06-15 15:31:39,2023-06-15 15:40:01,IP Address,47.230.202.136,100,502,True,2023-06-15 15:40:02,R_10vJwxMk0zuVwkQ,,,,,40.7279,-73.9966,anonymous,EN,I consent to the study.,mad_dem_1,"Yes, I understand.",0,0,54.109,0,0,0,3.114,0,33,0,0,4.655,0,0,0,22.04,0,IM_3KUo7iTc8Zjnk46,derives its significance in part from its providing new technologies.,300,267,Region #1,Neutral,"Somewhat 
Disagree
3
",0,0,23.933,0,0,0,25.268,0,0,0,25.107,0,,,,,,,,,,,0,0,15.008,0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I DO give my consent for you to use my data.,I agree with this statement,6392NwKkvp,Study2_MoHiPilot1,,1,R_10vJwxMk0zuVwkQ,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player1-Democrat: hey
<br>Player3-Democrat: hey
<br>Player4-Republican: what's up
<br>Player2-Republican: heyooo
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>",,chatLog,,,
2023-06-15 15:31:57,2023-06-15 15:40:18,IP Address,47.230.202.136,100,500,True,2023-06-15 15:40:18,R_RQPWMEIrPN5PSjT,,,,,40.7279,-73.9966,anonymous,EN,I consent to the study.,mad_dem_2,"Yes, I understand.",0,0,36.644,0,0,0,3.008,0,33,0,0,1.617,0,0,0,27.361,0,IM_3KUo7iTc8Zjnk46,expands the boundaries of our knowledge of medicine.,,,,Neutral,"Somewhat 
Disagree
3
",0,0,12.352,0,0,0,10.864,0,0,0,25.006,0,Randomization,2.577,33.708,34.381,2,,Yes,Neither Fairly or Unfairly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I DO give my consent for you to use my data.,I agree with this statement,6392NwKkvp,Study2_MoHiPilot1,,1,R_RQPWMEIrPN5PSjT,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player1-Democrat: hey
<br>Player3-Democrat: hey
<br>Player4-Republican: what's up
<br>Player2-Republican: heyooo
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>",,chatLog,,,
2023-06-15 15:28:21,2023-06-15 15:40:26,IP Address,47.230.202.136,100,724,True,2023-06-15 15:40:26,R_1NEcm3K97YPFRgp,,,,,40.7279,-73.9966,anonymous,EN,I consent to the study.,mad_repub_1,"Yes, I understand.",0,0,247.727,0,0,0,3.114,0,33,0,0,0.435,0,0,0,53.44,0,IM_3KUo7iTc8Zjnk46,,656,267,Region #2,Neutral,"Somewhat 
Disagree
3
",0,0,9.45,0,0,0,12.518,0,0,0,25.108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,45.109,0,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,1,R_1NEcm3K97YPFRgp,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player4-Republican,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player1-Democrat: hey
<br>Player3-Democrat: hey
<br>Player4-Republican: what's up
<br>Player2-Republican: heyooo
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>",,chatLog,,,
2023-06-15 15:32:24,2023-06-15 15:40:37,IP Address,47.230.202.136,100,493,True,2023-06-15 15:40:38,R_1QA4PFqgH9xeQvt,,,,,40.7279,-73.9966,anonymous,EN,I consent to the study.,mad_repub_2,"Yes, I understand.",0,0,9.661,0,0,0,3.112,0,33,0,0,0.589,0,0,0,53.354,0,IM_3KUo7iTc8Zjnk46,derives its significance in part from its providing new technologies.,598,221,Region #2,Neutral,"Somewhat 
Disagree
3
",0,0,9.933,0,0,0,14.3,0,0,0,25.109,0,,,,,,,,,,,,,,,,,,,,,,,0,0,45.009,0,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,1,R_1QA4PFqgH9xeQvt,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player2-Republican,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player1-Democrat: hey
<br>Player3-Democrat: hey
<br>Player4-Republican: what's up
<br>Player2-Republican: heyooo
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>",,chatLog,,,
2023-06-21 11:42:59,2023-06-21 11:49:17,IP Address,97.97.50.179,100,377,True,2023-06-21 11:49:18,R_1juKRkegzWQb1zQ,,,,,28.2475,-82.4943,anonymous,EN,I consent to the study.,5de5496937e1d50ca63e0fa5,"Yes, I understand.",0,0,340.828,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,3,R_1juKRkegzWQb1zQ,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player4-Republican,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 11:56:12,2023-06-21 12:02:47,IP Address,64.191.56.48,100,395,True,2023-06-21 12:02:48,R_ueuvWXBt1vkq18Z,,,,,33.5637,-83.1702,anonymous,EN,I consent to the study.,614e3f7def73ee04e730819e,"Yes, I understand.",0,0,332.493,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,2,R_ueuvWXBt1vkq18Z,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 11:48:09,2023-06-21 12:02:51,IP Address,150.135.165.27,100,882,True,2023-06-21 12:02:52,R_1H8NxamSDpyg6Z5,,,,,32.2503,-110.945,anonymous,EN,I consent to the study.,64038d5b9885a68aefca0f62,"Yes, I understand.",5.883,323.484,367.623,11,0,0,3.023,0,50,45.595,46.217,66.908,2,0,0,23.35,0,IM_3KUo7iTc8Zjnk46,has any value apart from its role in providing new technologies to save lives.,618,159,Region #2,Disagree,"Somewhat 
Disagree
3
",9.197,9.197,10.251,1,0,0,13.421,0,0,0,26.512,0,Randomization,3.256,3.256,39.745,1,,Yes,Neither Fairly or Unfairly,8,,,,,,,,,,,,,,,,,,,,,,,,,,Do people take the easier option even if its not fair?,No,It was obvious the timers were fake. Lots of studies do this.,No,It is all pre-programmed time limits.,On a desktop or laptop computer,,,23,Man,,"Hispanic, Latino or Spanish Origin",Conservative,I DO give my consent for you to use my data.,I agree with this statement,6392NwKkvp,Study2_MoHiPilot1,,4,R_1H8NxamSDpyg6Z5,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player4-Republican,vailable participant -- Survey terminated *** BOT in role Player1-Democrat responded: terminated (stage 1). *** BOT in role Player2-Republican responded: terminated (stage 1). *** BOT in role Player3-Democrat responded: terminated (stage 1).,300,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Republican has joined the chat ***
<br>Player4-Republican: It just looked like 50 to me
<br> *** Player4-Republican has left the chat ***
<br>",,chatLog,,,
2023-06-21 11:58:09,2023-06-21 12:04:28,IP Address,73.205.14.103,100,379,True,2023-06-21 12:04:29,R_21ziR9QPYHo4uay,,,,,27.2621,-80.3835,anonymous,EN,I consent to the study.,6025b3681ff1521a3369dffe,"Yes, I understand.",0,0,351.836,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,5,R_21ziR9QPYHo4uay,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
